,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
BCL11A,-0.062638916,0.06482697,0.0068977335,0.15279698,0.115653634,0.056559578
SLC1A3,0.02258381,-0.0730522,0.09431151,0.13710222,-0.082014054,-0.0074022594
PTPRE,0.28031948,-0.13284029,0.07273012,0.022185864,-0.080996014,0.18010372
SETBP1,-0.055485163,0.07386137,0.29783544,0.0058633536,-0.15494505,-0.22376162
COL5A1,-0.021091338,0.24025238,0.15802653,-0.011866235,-0.18379954,0.14905195
TBX3,-0.1145747,0.023321973,0.22554123,0.0004155962,-0.074853525,-0.14291361
CSPG4,-0.088923186,0.045467194,0.24620868,-0.014727522,-0.1091182,-0.0028090137
MET,0.107254684,-0.015960092,0.008560468,0.10180122,-0.22779863,0.110013396
ZNF521,0.027256887,0.33876994,0.052118916,0.06272985,-0.06346572,-0.016426416
INSIG1,0.033084698,-0.17514215,0.08128951,0.078681424,-0.27767572,0.23186558
PPFIA4,-0.07467413,0.087226346,0.13272527,-0.023380632,-0.019349735,-0.029456351
CTHRC1,0.02317178,0.09698095,0.03590601,0.020804698,-0.06522829,0.22083314
ST3GAL6,0.11665725,-0.19155686,0.14169417,0.018546546,0.03596997,0.11552699
