endpoint,repeat,fold,module_label,model,c_index,error,n_train,n_test,train_events,test_events,n_module_genes_used,n_original_proliferation_genes_used,n_disjoint_proliferation_genes_used,module_pc1_explained_variance,original_proliferation_pc1_explained_variance,disjoint_proliferation_pc1_explained_variance,train_module_original_proliferation_correlation,train_module_disjoint_proliferation_correlation,residual_sd_before_standardization
DFI,19,5,M39,residual_to_original_proliferation,0.5709090909090909,,149,37,114,29,5,251,251,0.4853638012569424,0.6512064060915287,0.6512064060915287,0.5832049862046901,0.5832049862046901,0.8123250236610882
DFI,19,5,M39,residual_to_disjoint_proliferation,0.5709090909090909,,149,37,114,29,5,251,251,0.4853638012569424,0.6512064060915287,0.6512064060915287,0.5832049862046901,0.5832049862046901,0.8123250236610882
DFI,19,5,M39,residual_to_disjoint_proliferation_and_weight,0.5690909090909091,,149,37,114,29,5,251,251,0.4853638012569424,0.6512064060915287,0.6512064060915287,0.5832049862046901,0.5832049862046901,0.8123232942440733
DFI,19,5,M40,module_only,0.58,,149,37,114,29,144,251,171,0.49843670644989274,0.6512064060915287,0.6266048251745233,0.9815235790706538,0.9721512071897846,
DFI,19,5,M40,original_proliferation_only,0.5509090909090909,,149,37,114,29,144,251,171,0.49843670644989274,0.6512064060915287,0.6266048251745233,0.9815235790706538,0.9721512071897846,
DFI,19,5,M40,module_plus_original_proliferation,0.6090909090909091,,149,37,114,29,144,251,171,0.49843670644989274,0.6512064060915287,0.6266048251745233,0.9815235790706538,0.9721512071897846,
DFI,19,5,M40,disjoint_proliferation_only,0.54,,149,37,114,29,144,251,171,0.49843670644989274,0.6512064060915287,0.6266048251745233,0.9815235790706538,0.9721512071897846,
DFI,19,5,M40,module_plus_disjoint_proliferation,0.6072727272727273,,149,37,114,29,144,251,171,0.49843670644989274,0.6512064060915287,0.6266048251745233,0.9815235790706538,0.9721512071897846,
DFI,19,5,M40,residual_to_original_proliferation,0.6472727272727272,,149,37,114,29,144,251,171,0.49843670644989274,0.6512064060915287,0.6266048251745233,0.9815235790706538,0.9721512071897846,0.19134122328535158
DFI,19,5,M40,residual_to_disjoint_proliferation,0.6563636363636364,,149,37,114,29,144,251,171,0.49843670644989274,0.6512064060915287,0.6266048251745233,0.9815235790706538,0.9721512071897846,0.23435449720336923
