analysis_set,initial_factors,module_label,n_module_genes,module_coverage_fraction,subspace_name,n_subspace_factors,subspace_factors,observed_capture,n_random_valid,random_mean,random_q95,observed_percentile,empirical_p_greater_equal,empirical_q_within_model_subspace,empirical_q_global
four_cohort_core_plus_frozen,12,M24,7,1.0,shared_two_or_more,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.05795283332768692,2000,0.023954781070718332,0.03751337368310592,0.9955,0.004997501249375313,0.004997501249375313,0.008745627186406797
four_cohort_core_plus_frozen,12,M24,7,1.0,ubiquitous_all_groups,4,Factor1;Factor2;Factor4;Factor7,0.022292901217865316,2000,0.009856974648680057,0.020592284739437063,0.9615,0.038980509745127435,0.07796101949025487,0.0576784778342536
four_cohort_core_plus_frozen,12,M24,7,1.0,partially_shared,4,Factor3;Factor5;Factor6;Factor8,0.03691685760547054,2000,0.01563126632833509,0.03326304630880517,0.9705,0.029985007496251874,0.0399800099950025,0.04585942322956169
four_cohort_core_plus_frozen,12,M24,7,1.0,shared_non_ffpe_only,4,Factor3;Factor5;Factor6;Factor8,0.03691685760547054,2000,0.01563126632833509,0.03326304630880517,0.9705,0.029985007496251874,0.0399800099950025,0.04585942322956169
four_cohort_core_plus_frozen,12,M24,7,1.0,gse39055_shared,4,Factor1;Factor2;Factor4;Factor7,0.022292901217865316,2000,0.009856974648680057,0.020592284739437063,0.9615,0.038980509745127435,0.07796101949025487,0.0576784778342536
four_cohort_core_plus_frozen,12,M40,78,0.7027027027027027,all_retained,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.6206324542389882,2000,0.07858540300448338,0.09792539430588776,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,12,M40,78,0.7027027027027027,shared_two_or_more,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.6206324542389882,2000,0.07858540300448338,0.09792539430588776,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,12,M40,78,0.7027027027027027,ubiquitous_all_groups,4,Factor1;Factor2;Factor4;Factor7,0.011093827699720176,2000,0.06529716985343663,0.08738611943451782,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,12,M40,78,0.7027027027027027,partially_shared,4,Factor3;Factor5;Factor6;Factor8,0.6095698992284119,2000,0.023918291224096385,0.04077592088802829,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,12,M40,78,0.7027027027027027,shared_non_ffpe_only,4,Factor3;Factor5;Factor6;Factor8,0.6095698992284119,2000,0.023918291224096385,0.04077592088802829,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,12,M40,78,0.7027027027027027,gse39055_shared,4,Factor1;Factor2;Factor4;Factor7,0.011093827699720176,2000,0.06529716985343663,0.08738611943451782,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,16,M34,130,0.8024691358024691,all_retained,11,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8;Factor9;Factor10;Factor11,0.6461472143241483,2000,0.2650958307842889,0.29837523982640185,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,16,M34,130,0.8024691358024691,shared_two_or_more,11,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8;Factor9;Factor10;Factor11,0.6461472143241483,2000,0.2650958307842889,0.29837523982640185,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
