analysis_set,initial_factors,module_label,n_frozen_genes,n_naturally_selected_module_genes,natural_coverage_fraction,subspace_name,n_subspace_factors,subspace_factors,observed_capture,n_random_valid,random_mean_capture,random_q95_capture,observed_percentile,empirical_p_greater_equal,empirical_q_global,empirical_q_within_subspace
four_cohort_detection_aware_variable_only_700,12,M40,111,29,0.26126126126126126,ubiquitous_all_groups,5,Factor1;Factor2;Factor3;Factor4;Factor6,0.2798486997294839,2000,0.020411085359713498,0.030419101605278977,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,12,M40,111,29,0.26126126126126126,partially_shared,3,Factor5;Factor7;Factor8,0.004698212479597067,2000,0.006125424862664117,0.015536581281428654,0.4735,0.526736631684158,0.5596576711644178,0.6772328121653459
four_cohort_detection_aware_variable_only_700,12,M40,111,29,0.26126126126126126,shared_non_ffpe_only,3,Factor5;Factor7;Factor8,0.004698212479597067,2000,0.006125424862664117,0.015536581281428654,0.4735,0.526736631684158,0.5596576711644178,0.6772328121653459
four_cohort_detection_aware_variable_only_700,12,M40,111,29,0.26126126126126126,gse39055_shared,5,Factor1;Factor2;Factor3;Factor4;Factor6,0.2798486997294839,2000,0.020411085359713498,0.030419101605278977,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,16,M34,162,40,0.24691358024691357,all_retained,11,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8;Factor9;Factor10;Factor11,0.3424813312552999,2000,0.06416962856749865,0.07924962140021678,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,16,M34,162,40,0.24691358024691357,shared_two_or_more,10,Factor1;Factor2;Factor3;Factor4;Factor6;Factor7;Factor8;Factor9;Factor10;Factor11,0.34052349792461234,2000,0.06272701498405386,0.07738985330237752,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,16,M34,162,40,0.24691358024691357,ubiquitous_all_groups,8,Factor1;Factor2;Factor3;Factor4;Factor6;Factor8;Factor9;Factor11,0.279353602785826,2000,0.05975565181721684,0.07342371901221499,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,16,M34,162,40,0.24691358024691357,partially_shared,2,Factor7;Factor10,0.0553369671906446,2000,0.0048049853129045,0.013410557103700503,1.0,0.0004997501249375312,0.000742347272965459,0.0029985007496251873
four_cohort_detection_aware_variable_only_700,16,M34,162,40,0.24691358024691357,shared_non_ffpe_only,2,Factor7;Factor10,0.0553369671906446,2000,0.0048049853129045,0.013410557103700503,1.0,0.0004997501249375312,0.000742347272965459,0.0029985007496251873
four_cohort_detection_aware_variable_only_700,16,M34,162,40,0.24691358024691357,gse39055_shared,8,Factor1;Factor2;Factor3;Factor4;Factor6;Factor8;Factor9;Factor11,0.279353602785826,2000,0.05975565181721684,0.07342371901221499,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
